actor,air_time_in_minutes
Jaspal Sharma,254
Deepak Dobriyal,254
Vikram Ghokale,254
Abir Chatterjee,253
Kota Srinivasa Rao,251
Donnie Yen,251
BN Sharma,250
Kriti Sanon,250
Kovai Sarala,250
LB,250
Massimo Ceccherini,250
Rocco Papaleo,250
Daniel Annie Pope,250
Federico Ielapi,250
Roberto Benigni,250
Prashanth,249
Suhas,249
Sai Dharam Tej,249
Lee Pace,248
Disha Pandey,248
Adah Sharma,247
Arjun Chakraborty,247
Neeraj Kabi,247
Aneesha Joshi,246
Tim McInnerny,245
Kristen Bell,245
Eva Green,244
Praveen,244
Brahmanandam,244
Gulshan Devaiah,244
Johnny Depp,244
Willem Dafoe,244
Tom Holland,244
Manoj Pahwa,243
Prozak,243
Tim Rooney,243
Digangana Suryavanshi,243
Neha Saxena,242
Rana Ranbir,242
Yograj Singh,241
Dee Baker,241
Kathreen Khavari,241
Vijay Raaz,240
Venba,240
Raima Sen,239
Sunny Leone,239
Asa Butterfield,239
Evangeline Lilly,239
Janelle Monáe,239
Nagarjuna Akkineni,238
Hugh Jackman,238
Dhruvva,238
Meghana,237
Lucy Liu,237
Rwitobroto Mukherjee,237
Sunny Wayne,237
Dwayne Johnson,237
Shantilal Mukherjee,237
Jingchu Zhang,236
Sanya Malhotra,236
Britt Robertson,236
Ayushmann Khurrana,235
Felicity Jones,234
Akhil,234
Jeff Goldblum,234
Maria Bello,232
Gurpreet Ghuggi,232
Octavia Spencer,231
Emma Thompson,231
Anna Kendrick,231
Michael Stuhlbarg,231
Walton Goggins,231
Arjun Chidambaram,231
Devadarshini,231
Billy Eichner,230
Bharathiraja,230
Ben Foster,228
Benedict Wong,228
Jason London,227
Ammy Virk,227
Tina Fey,227
Farrukh Jaffar,227
Wallace Shawn,225
Angus Wright,224
Rupert Everett,224
Allison Janney,224
Merab Ninidze,224
Jessie Buckley,224
Rachel McAdams,223
Ram Gopal Bajaj,223
Riju Bajaj,223
Rishi Kapoor,222
Julianne Nicholson,222
Pavitra Lokesh,222
Oakes Fegley,221
Michelle Williams,221
Shahram Haghighat Doost,220
Raven-Symoné,220
Ryan Bingham,220
Benjamin Dane,220
Hunter Sansone,220
Rani Mukerji,219
Catherine Keener,218
LooLoo Kids,218
Joe Malloori,218
Mahendran,218
Karthik,218
Sean Patrick Leonard,217
Sabrina Carpenter,217
Ed Skrein,217
Himaja,216
Giancarlo Esposito,215
Shabeer Kallarakkal,215
Trevor Devall,215
Kyle Gallner,215
Corey Stoll,215
Eddie Murphy,214
Jaden Smith,214
Stony Blyden,214
JT Neal,214
Cara Delevingne,214
Cuba Gooding Jr.,214
Patton Oswalt,214
Tom Scott,214
Chris D'Elia,214
RZA,214
Peter MacNeill,214
Peter Sarsgaard,213
Zoe Kazan,213
Anupama Kumar,212
Danny DeVito,212
Ross Lynch,212
Kate Winslet,212
Alison Fernandez,211
Mary Lynn Rajskub,211
Renée Victor,210
Anthony Gonzalez,210
Bill Murray,210
Tom Hiddleston,210
June Squibb,210
Tim Kaiser,209
Rahman,209
Aneurin Barnard,209
Patrick Stewart,209
Aaron Michael,209
Jason Lee,209
Ty Burrell,209
John Leguizamo,208
Vincent Pastore,208
Sam Elliott,208
Valentino Rossi,208
Liev Schreiber,208
John Hopkins,208
Christopher Jackson,207
Mindy Kaling,207
Kyle Bornheimer,206
Armand Assante,206
Bill Nighy,206
Jet Jurgensmeyer,206
Peter Coyote,205
Yutaka Aoyama,205
Larry the Cable Guy,205
Jay Baruchel,205
Chloe Coleman,204
Clemens Schick,203
Anne Hathaway,203
James Marsters,203
Kabir Bedi,202
Tamika Foggie,202
Claire Forlani,201
Mike Starr,201
Hemant Pandey,201
Karen Abercrombie,201
Zendaya,201
Jack McBrayer,201
Mother Goose Club,201
Christina Applegate,201
Shuzhen Zhao,200
X Mayo,200
Chaitanya,200
Andrea Riseborough,200
Juno Temple,200
Bill Hader,200
Kiersey Clemons,200
Xavier Samuel,199
Céline Sallette,199
Sam Neill,198
Jai Courtney,198
Janet Varney,198
Chris Cooper,198
John DeLuca,198
Mary Kay Place,197
Chaams,197
Lorenzo Lamas,197
Sabumon Abdusamad,196
Guillermo Ivan,196
Sullivan Stapleton,196
Rudy Miera,196
Kimberley Aria Peterson,196
Huitzil Sol,196
Hannah-Jayne Thorp,194
Seren Hawkes,194
Joseph May,194
Joe Pantoliano,194
Orla Hill,194
Andrew Scott,194
Kelly Macdonald,194
Dane Hughes,194
Jamie Chung,194
Harold Perrineau,193
Kellan Lutz,193
Jeff Kober,193
Sunil,193
Auli'i Cravalho,192
